marital_status,car_use,gender,kids_driving,parent,education,car_make,car_color,car_year,claim_freq,coverage_zone,claim_amt,household_income,total_claim_amount_per_time
Divorced,Private,Female,0,No,Bachelors,Audi,Khaki,2011,0,Suburban,14929.58,92119.83,0
Single,Private,Male,0,No,High School,Chevrolet,Crimson,2003,0,Suburban,49509.31,86894.63,0
Single,Private,Male,0,No,Bachelors,Mazda,Fuscia,1994,1,Highly Urban,4066.79,214779.24,4066.79
Married,Private,Female,0,No,Bachelors,Chevrolet,Pink,1984,0,Highly Urban,79186.98,74228.6,0
Married,Commercial,Male,0,No,High School,Toyota,Red,2007,0,Highly Rural,46622.23,56134.64,0
Married,Private,Male,0,No,Masters,Ford,Maroon,2005,0,Highly Urban,90518.5,214006.35,0
Married,Private,Male,1,Yes,High School,BMW,Khaki,2002,0,Suburban,92936.58,79466.75,0
Married,Private,Female,1,Yes,High School,Mazda,Green,1997,2,Highly Rural,41272.21,218240.84,20636.105
Married,Private,Female,0,No,High School,Volkswagen,Maroon,2012,0,Suburban,43302.18,84572.17,0
Single,Private,Female,0,No,Bachelors,Dodge,Fuscia,2001,1,Rural,7573.67,171915.76,7573.67
Single,Private,Female,0,No,Bachelors,Ford,Fuscia,2003,0,Urban,50985.57,234160.28,0
Single,Private,Female,0,Yes,Bachelors,Pontiac,Pink,1984,0,Urban,69445.12,83901.56,0
Married,Private,Male,0,No,High School,Nissan,Yellow,1992,0,Highly Urban,11337.62,85281.53,0
Married,Private,Female,0,No,Bachelors,Dodge,Orange,1995,0,Rural,2974.83,168234.3,0
Seperated,Private,Male,0,No,Bachelors,Maserati,Teal,2009,0,Urban,60544.85,161545.35,0
Married,Private,Female,0,Yes,Bachelors,Subaru,Mauv,1987,1,Highly Urban,77309.63,129258.81,77309.63
Single,Private,Male,0,No,High School,Chevrolet,Yellow,1993,0,Highly Rural,47051.07,107372.74,0
Single,Private,Female,0,No,Bachelors,Mercury,Khaki,2010,0,Urban,60746.45,150837.78,0
Divorced,Private,Female,0,No,Bachelors,Ford,Turquoise,1989,1,Rural,14287.48,129996.52,14287.48
Seperated,Private,Male,0,No,Bachelors,Mercedes-Benz,Fuscia,2000,0,Highly Rural,39722.32,206942.25,0
Divorced,Commercial,Male,0,No,Bachelors,Volvo,Violet,1998,0,Rural,48012.93,207503.68,0
Divorced,Private,Female,1,Yes,High School,Mazda,Violet,1999,0,Highly Rural,12904.83,173389.72,0
Single,Private,Female,0,No,High School,BMW,Aquamarine,2003,0,Highly Urban,16085,101845.83,0
Divorced,Commercial,Male,2,Yes,Bachelors,Ford,Indigo,2004,0,Highly Rural,14238.13,112096.58,0
Single,Private,Male,1,Yes,High School,GMC,Puce,2004,3,Urban,10526.71,100462.43,3508.903333
Single,Private,Female,0,No,Bachelors,Mazda,Turquoise,1995,0,Highly Rural,14596.57,96330.83,0
Single,Private,Male,1,Yes,PhD,Mazda,Khaki,1994,0,Highly Urban,68347.94,109501.43,0
Single,Private,Male,0,No,Bachelors,Mitsubishi,Khaki,1993,0,Highly Urban,68544.69,160108.7,0
Single,Private,Female,0,Yes,Bachelors,Cadillac,Crimson,2012,0,Urban,53375.67,53090.31,0
Married,Private,Male,0,No,Masters,Ford,Khaki,2001,0,Suburban,34479.05,175282.5,0
Married,Private,Female,0,No,Bachelors,Pontiac,Maroon,1977,2,Highly Rural,95039.85,230161.75,47519.925
Single,Private,Male,0,No,Bachelors,Mercedes-Benz,Puce,1996,0,Urban,28822.76,229703.36,0
Single,Private,Male,0,Yes,Bachelors,Audi,Red,1987,2,Rural,55647.2,177475.18,27823.6
Married,Commercial,Female,0,Yes,Bachelors,Bentley,Violet,2010,1,Suburban,53952.84,214882.4,53952.84
Single,Private,Female,0,No,Bachelors,Buick,Aquamarine,1995,0,Highly Urban,46187.06,220551.07,0
Divorced,Private,Female,0,No,Bachelors,Volvo,Pink,2010,1,Urban,17268.25,199879.05,17268.25
Married,Commercial,Female,0,No,High School,BMW,Crimson,1994,0,Suburban,10217.25,80848.34,0
Single,Private,Female,0,No,High School,Ford,Red,1989,0,Highly Rural,77888.34,116822.43,0
Married,Private,Female,0,Yes,PhD,Chrysler,Green,2004,0,Highly Urban,29047.24,79336.78,0
Seperated,Private,Male,0,Yes,High School,Land Rover,Maroon,2001,0,Rural,77231.69,105330.47,0
Married,Private,Female,0,No,Bachelors,Lamborghini,Teal,2003,0,Suburban,1928.62,178411.57,0
Married,Commercial,Male,0,No,Bachelors,Mercedes-Benz,Orange,1990,0,Highly Rural,16962.56,59450.2,0
Divorced,Private,Male,1,Yes,Bachelors,Chevrolet,Teal,1993,0,Highly Urban,86365.23,47774.81,0
Single,Private,Female,0,No,Bachelors,Mazda,Maroon,1997,0,Highly Rural,51308.76,211222.48,0
Single,Private,Male,0,No,Bachelors,Chevrolet,Crimson,2003,0,Urban,63179.06,139257.74,0
Married,Private,Male,2,Yes,Masters,Ford,Green,2008,1,Rural,50177.13,182928.64,50177.13
Seperated,Private,Female,1,Yes,High School,Pontiac,Goldenrod,2001,3,Highly Rural,23782.66,68466.8,7927.553333
Single,Private,Female,0,Yes,Bachelors,Chevrolet,Green,2006,1,Urban,76785.45,148605.63,76785.45
Married,Commercial,Male,0,No,High School,Buick,Aquamarine,1999,1,Highly Rural,23228.1,102344.85,23228.1
Single,Private,Female,0,No,Bachelors,Maserati,Purple,2006,1,Urban,67139.48,175214.94,67139.48
Married,Private,Female,1,Yes,Masters,Lexus,Indigo,1990,0,Suburban,20390.17,114242.26,0
Single,Private,Female,0,No,High School,Cadillac,Purple,2008,0,Urban,61535.74,155334.86,0
Single,Private,Female,0,No,Bachelors,Dodge,Khaki,2004,1,Highly Urban,15491.92,196607.44,15491.92
Divorced,Private,Male,0,Yes,Bachelors,MINI,Green,2003,1,Rural,99707.61,50601.54,99707.61
Single,Private,Male,0,No,Masters,Mitsubishi,Fuscia,2008,0,Suburban,56692.17,117395.8,0
Divorced,Private,Female,0,No,Bachelors,Saab,Turquoise,2005,0,Highly Urban,6240,239260.69,0
Married,Commercial,Female,3,Yes,PhD,Buick,Crimson,1990,1,Urban,42135.15,92779.98,42135.15
Divorced,Private,Male,0,No,Bachelors,Volkswagen,Teal,1990,0,Rural,92860.09,194294.97,0
Single,Commercial,Female,3,Yes,Bachelors,Volkswagen,Turquoise,2002,0,Suburban,6256.97,136731.31,0
Married,Private,Male,1,Yes,Masters,GMC,Mauv,2002,0,Suburban,10543.03,148545.13,0
Single,Private,Male,0,Yes,Bachelors,Volvo,Turquoise,1994,0,Urban,62905.22,151137.32,0
Married,Private,Female,0,Yes,Bachelors,Mitsubishi,Teal,1993,0,Highly Urban,41231.83,66289.05,0
Single,Private,Female,1,Yes,High School,Porsche,Green,2011,0,Suburban,70839.32,139500.63,0
Divorced,Private,Female,0,No,Bachelors,Acura,Mauv,2001,1,Highly Urban,44314.81,58894.43,44314.81
Married,Private,Male,0,No,Bachelors,Eagle,Yellow,1992,0,Urban,8751.46,78897.73,0
Divorced,Private,Male,0,No,Bachelors,GMC,Green,1998,0,Highly Rural,80309.17,174804.72,0
Single,Private,Female,0,No,Bachelors,Toyota,Crimson,1998,0,Rural,37177.03,114029.6,0
Married,Commercial,Female,0,No,Bachelors,Mercury,Violet,1991,0,Highly Urban,35275.91,237137.9,0
Married,Private,Male,0,No,Bachelors,GMC,Red,1992,0,Suburban,94087.7,75046.72,0
Married,Private,Female,2,Yes,Bachelors,Mercury,Violet,1991,1,Suburban,81487.88,149102.73,81487.88
Single,Private,Female,0,No,Bachelors,Cadillac,Goldenrod,2007,2,Urban,16663.14,49368.49,8331.57
Single,Private,Female,0,Yes,High School,Infiniti,Purple,2009,0,Suburban,34632.73,170812.36,0
Single,Commercial,Female,1,Yes,High School,Acura,Indigo,2004,0,Highly Urban,12352.31,211632.9,0
Single,Private,Female,0,No,Masters,Ford,Purple,1998,1,Highly Urban,61981.93,72131.22,61981.93
Single,Private,Female,0,No,Bachelors,Mitsubishi,Teal,1989,0,Highly Rural,74331.57,153014.72,0
Single,Commercial,Female,1,Yes,High School,Jeep,Mauv,2005,0,Highly Rural,72695.36,121959.38,0
Single,Private,Male,0,No,Bachelors,Hyundai,Violet,2007,2,Highly Rural,51619.72,63175.49,25809.86
Single,Private,Female,0,No,Bachelors,Honda,Teal,1999,0,Urban,7488.22,100435.37,0
Single,Private,Female,1,Yes,Bachelors,Chevrolet,Blue,2006,0,Suburban,65463.2,201709.15,0
Single,Private,Male,1,Yes,Bachelors,Hummer,Pink,2000,3,Highly Urban,31695.59,169446.23,10565.19667
Divorced,Private,Male,0,No,Bachelors,Dodge,Yellow,1992,0,Suburban,77405.86,226961.76,0
Single,Commercial,Male,0,Yes,High School,Toyota,Purple,2012,0,Suburban,34175.77,46864.01,0
Single,Private,Male,0,No,High School,Mercury,Aquamarine,2008,0,Highly Rural,1420.7,208753.83,0
Single,Private,Female,0,No,Bachelors,Acura,Turquoise,2007,0,Highly Rural,54508.54,78478.85,0
Single,Private,Male,0,No,PhD,Dodge,Aquamarine,2000,3,Urban,43324.94,169737.42,14441.64667
Married,Commercial,Male,0,No,Bachelors,BMW,Orange,2008,1,Rural,63032.31,217736.88,63032.31
Married,Private,Female,0,No,Bachelors,Toyota,Pink,2004,0,Suburban,43342.2,169675.01,0
Divorced,Commercial,Female,0,Yes,Bachelors,Hyundai,Fuscia,2007,0,Urban,99736.72,89871.49,0
Single,Private,Male,1,Yes,Bachelors,Toyota,Crimson,1999,0,Suburban,2993.41,86583.59,0
Married,Private,Male,1,Yes,Bachelors,Ford,Green,2000,0,Highly Urban,65048.32,139800.04,0
Single,Private,Female,0,Yes,Bachelors,Chrysler,Orange,1996,4,Urban,53851.93,196116.24,13462.9825
Married,Private,Male,2,Yes,Bachelors,Dodge,Puce,2002,0,Highly Rural,11863.56,156985.48,0
Single,Private,Female,0,No,Masters,Mazda,Aquamarine,1990,0,Highly Rural,36988.17,83474.58,0
Divorced,Private,Male,1,Yes,Bachelors,Honda,Aquamarine,2001,0,Highly Rural,77582.7,63698.66,0
Single,Private,Female,2,Yes,Bachelors,Infiniti,Blue,1998,0,Suburban,53046.03,133526.33,0
Married,Private,Male,1,Yes,High School,Mitsubishi,Goldenrod,2006,0,Suburban,25978.56,61959.17,0
Single,Commercial,Female,0,Yes,High School,Cadillac,Green,2001,0,Suburban,86171.53,81276.34,0
Divorced,Private,Female,0,No,Masters,Subaru,Maroon,1995,0,Rural,76227.8,162239.93,0
Single,Commercial,Female,0,No,Bachelors,Buick,Orange,1998,0,Highly Rural,93639.21,201651.74,0
Single,Private,Male,0,Yes,High School,Peugeot,Red,2006,4,Highly Rural,70429.01,131925,17607.2525
Married,Commercial,Male,0,No,Masters,Mazda,Pink,2002,0,Urban,65661.89,99113.78,0
Single,Private,Male,0,No,High School,Saab,Blue,1996,1,Highly Urban,86134.02,62178.43,86134.02
Married,Commercial,Male,2,Yes,Bachelors,Audi,Maroon,1996,0,Highly Rural,54478.29,223983.03,0
Single,Private,Male,0,Yes,Bachelors,Nissan,Red,2005,0,Urban,63647.61,135661.64,0
Married,Private,Male,0,No,Bachelors,Dodge,Indigo,2006,0,Urban,67102.08,56011.79,0
Single,Private,Female,1,Yes,High School,GMC,Fuscia,2004,0,Rural,96372.83,129721.39,0
Single,Private,Male,0,No,High School,Mercury,Maroon,1985,0,Suburban,18171.53,197838.32,0
Single,Private,Female,0,No,Bachelors,Mazda,Khaki,1990,0,Rural,84532.68,209736.4,0
Single,Commercial,Female,0,No,Bachelors,GMC,Turquoise,2004,0,Highly Rural,66693.65,101878.14,0
Married,Private,Female,0,No,Bachelors,Saab,Crimson,2009,0,Highly Rural,20200.65,50801.04,0
Single,Commercial,Male,0,No,Bachelors,BMW,Purple,2006,2,Urban,82556.69,185472.55,41278.345
Married,Private,Male,0,No,Masters,BMW,Crimson,2000,0,Rural,58852.14,74426.17,0
Single,Private,Female,0,Yes,High School,Land Rover,Crimson,2005,1,Rural,54043.7,51521.47,54043.7
Single,Private,Female,0,No,Masters,Mercedes-Benz,Maroon,2008,0,Urban,44974.03,249384.06,0
Single,Private,Female,0,Yes,High School,Dodge,Teal,2005,3,Highly Rural,13179.51,86905.13,4393.17
Divorced,Private,Female,1,Yes,Bachelors,Mercury,Fuscia,1999,0,Urban,74252.45,205914.45,0
Married,Private,Male,1,Yes,Bachelors,Audi,Violet,1992,0,Suburban,87682.44,75006.72,0
Married,Commercial,Female,1,Yes,Bachelors,Jaguar,Khaki,2003,1,Urban,53781.69,172561.19,53781.69
Married,Private,Male,3,Yes,High School,GMC,Fuscia,2006,0,Highly Urban,72194.84,50366.94,0
Married,Private,Female,2,Yes,Masters,Rolls-Royce,Indigo,2009,3,Urban,48926.61,145562.95,16308.87
Married,Private,Female,0,No,Bachelors,Volvo,Aquamarine,2002,0,Rural,74616.63,172536.23,0
Single,Private,Male,2,Yes,High School,Audi,Puce,1986,4,Rural,91420.69,84382.89,22855.1725
Married,Private,Female,2,Yes,High School,GMC,Khaki,2008,0,Rural,62133.51,133376.19,0
Single,Private,Female,2,Yes,High School,Mercedes-Benz,Khaki,2000,0,Highly Rural,68592.05,132006.26,0
Single,Private,Male,0,No,Bachelors,Toyota,Turquoise,2000,0,Highly Urban,99370.13,210218.95,0
Divorced,Private,Female,2,Yes,Bachelors,Lexus,Aquamarine,2008,0,Highly Urban,21491.93,192052.35,0
Single,Private,Female,0,No,Bachelors,Dodge,Pink,2002,0,Suburban,28449.13,227283.53,0
Single,Commercial,Female,0,Yes,High School,Nissan,Teal,2006,1,Rural,92199.04,160424.62,92199.04
Single,Private,Male,0,No,Bachelors,BMW,Teal,2000,0,Highly Rural,51333.3,154772.9,0
Single,Private,Male,1,Yes,Bachelors,Toyota,Yellow,2006,0,Suburban,20211.93,123322.44,0
Single,Private,Female,3,Yes,High School,Land Rover,Purple,1995,0,Urban,98179.57,91778.47,0
Single,Private,Female,0,No,Bachelors,Chevrolet,Crimson,1992,0,Urban,10369.64,204636.59,0
Married,Private,Female,0,No,Bachelors,GMC,Fuscia,1999,0,Urban,77177.31,190592.22,0
Single,Private,Male,0,Yes,High School,Porsche,Violet,2003,0,Rural,10099.03,150895.02,0
Married,Commercial,Female,0,Yes,High School,Chevrolet,Red,1998,1,Urban,61270.25,74953.5,61270.25
Single,Private,Female,0,No,High School,Infiniti,Aquamarine,2006,0,Suburban,27133.98,183356.6,0
Married,Commercial,Male,2,Yes,Bachelors,Infiniti,Violet,2003,0,Suburban,58978.15,217740.96,0
Married,Private,Male,0,No,PhD,Chevrolet,Orange,1996,1,Suburban,78071.99,124365.27,78071.99
Single,Private,Male,2,Yes,Bachelors,Ford,Yellow,2012,1,Suburban,13409.32,168985.68,13409.32
Divorced,Private,Male,2,Yes,Masters,Mazda,Fuscia,1984,0,Highly Rural,14927.72,246092,0
Single,Private,Male,0,No,High School,Saturn,Fuscia,2009,0,Highly Urban,12827.18,155517.33,0
Married,Commercial,Male,0,Yes,High School,Chevrolet,Khaki,2008,0,Urban,62140.36,184231.2,0
Divorced,Private,Male,0,Yes,PhD,Lincoln,Khaki,2003,1,Highly Rural,15003.42,56660.12,15003.42
Married,Private,Male,0,No,Bachelors,Cadillac,Khaki,2012,0,Rural,30967.55,227692.68,0
Married,Private,Female,0,No,High School,Audi,Khaki,1997,1,Highly Urban,49647.97,170919.64,49647.97
Married,Commercial,Female,0,No,High School,Mazda,Khaki,2009,0,Suburban,5807.27,146995.46,0
Married,Private,Female,0,No,Masters,Chevrolet,Pink,2010,0,Rural,94584.36,165984.77,0
Divorced,Private,Female,0,Yes,Bachelors,Alfa Romeo,Turquoise,1992,0,Urban,51924.56,203432.44,0
Divorced,Commercial,Female,0,No,High School,Volkswagen,Orange,1992,0,Highly Urban,64477.93,96930.05,0
Single,Commercial,Female,0,No,High School,Chevrolet,Fuscia,2000,0,Urban,99692.69,52262.54,0
Single,Commercial,Male,1,Yes,Bachelors,Saab,Fuscia,1988,1,Highly Urban,93399.89,243789.15,93399.89
Single,Commercial,Female,1,Yes,Bachelors,Volkswagen,Turquoise,2009,0,Highly Urban,41986.7,206548.02,0
Single,Private,Female,0,No,Masters,BMW,Crimson,2004,0,Urban,90732.36,148522.16,0
Divorced,Private,Male,1,Yes,Bachelors,Mazda,Blue,2005,0,Highly Urban,59749.71,59430.7,0
Single,Commercial,Male,0,No,Masters,Toyota,Purple,1995,0,Suburban,85736.43,210238.93,0
Married,Private,Female,0,Yes,Bachelors,Mercedes-Benz,Teal,2002,0,Urban,35005.84,118149.34,0
Single,Private,Female,0,No,Bachelors,Mercury,Turquoise,1993,0,Urban,86436.34,169737.88,0
Seperated,Commercial,Male,0,Yes,High School,Ford,Orange,1997,0,Suburban,93545.28,223313.96,0
Single,Private,Male,2,Yes,High School,GMC,Teal,1999,0,Highly Rural,81096.7,86662.83,0
Married,Private,Female,0,No,High School,GMC,Puce,2007,0,Urban,93793.02,235252.49,0
Married,Commercial,Female,1,Yes,Bachelors,Jaguar,Pink,2000,1,Suburban,98200.93,221627.45,98200.93
Married,Private,Female,1,Yes,Bachelors,Chevrolet,Green,2004,0,Suburban,4346.28,110020.77,0
Single,Commercial,Female,0,No,Masters,Porsche,Yellow,1986,0,Highly Rural,61820.44,181110.63,0
Seperated,Private,Male,1,Yes,High School,Toyota,Turquoise,1997,0,Highly Urban,96500.53,240352.5,0
Married,Private,Female,0,Yes,Bachelors,Mercedes-Benz,Purple,2010,0,Urban,43596.04,90207.06,0
Single,Private,Female,0,No,High School,Pontiac,Indigo,1990,0,Highly Rural,27553.65,200075.97,0
Single,Private,Male,1,Yes,Bachelors,Land Rover,Yellow,2000,1,Highly Urban,53671.19,230256.56,53671.19
Seperated,Private,Male,0,No,Bachelors,Dodge,Turquoise,1992,4,Highly Urban,24786.85,69495.63,6196.7125
Single,Private,Male,1,Yes,High School,BMW,Maroon,1999,0,Highly Rural,58226.5,75383.08,0
Married,Private,Female,0,No,High School,Subaru,Yellow,1990,0,Highly Rural,26639.46,64996.75,0
Single,Private,Female,0,No,Masters,GMC,Crimson,2010,0,Highly Rural,87774.72,86072.84,0
Married,Private,Male,0,No,Bachelors,Mazda,Maroon,1996,0,Highly Urban,63398,226373.92,0
Single,Commercial,Female,0,No,Bachelors,Honda,Goldenrod,1998,0,Highly Urban,66405.41,62836.96,0
Single,Private,Male,0,Yes,High School,Mercury,Blue,2008,4,Urban,42482.18,134016.42,10620.545
Divorced,Private,Female,0,No,Masters,Toyota,Turquoise,2008,2,Highly Urban,29120.98,108981.48,14560.49
Divorced,Commercial,Female,1,Yes,Bachelors,Pontiac,Orange,2009,4,Highly Rural,20797.09,210087.94,5199.2725
Married,Commercial,Male,0,No,Bachelors,Ford,Puce,1997,0,Suburban,94068.19,47059.22,0
Single,Private,Male,0,No,High School,Mitsubishi,Goldenrod,2008,0,Suburban,57709.77,208154.91,0
Single,Private,Female,0,No,Masters,Jaguar,Blue,2002,0,Suburban,89310.4,115089.15,0
Single,Private,Female,2,Yes,Bachelors,Ford,Red,1991,0,Urban,56749.56,111483.74,0
Seperated,Private,Female,0,Yes,Bachelors,Ford,Crimson,2008,0,Highly Urban,18195.94,164591.6,0
Single,Private,Male,0,Yes,Bachelors,Subaru,Mauv,1987,0,Rural,38931.86,145688.51,0
Married,Commercial,Female,2,Yes,Bachelors,Land Rover,Orange,1991,0,Highly Urban,84868.6,104860.44,0
Divorced,Private,Male,0,No,High School,Pontiac,Aquamarine,1998,0,Rural,75977.61,52880.87,0
Single,Commercial,Male,0,No,Bachelors,Saab,Yellow,2000,0,Suburban,66851.34,165815.53,0
Married,Private,Male,1,Yes,Bachelors,Toyota,Mauv,2008,0,Highly Rural,78439.79,51219.43,0
Married,Private,Female,0,No,High School,Jaguar,Orange,2000,0,Highly Rural,17403.44,157197.93,0
Single,Private,Male,0,No,Masters,Plymouth,Fuscia,1978,0,Highly Rural,23156.99,85057.7,0
Married,Commercial,Male,0,No,Bachelors,Chevrolet,Blue,1977,1,Highly Urban,35022.5,69002.8,35022.5
Married,Private,Male,1,Yes,Bachelors,Suzuki,Khaki,1995,2,Highly Rural,68334.35,178084.14,34167.175
Single,Private,Male,0,No,Bachelors,Mazda,Puce,2005,0,Highly Rural,65667.92,179277.58,0
Single,Private,Male,0,Yes,High School,Cadillac,Teal,2006,0,Rural,30270.56,157827.41,0
Married,Private,Male,1,Yes,Bachelors,Ford,Indigo,1990,1,Highly Rural,45483.92,192131.71,45483.92
Seperated,Private,Female,0,No,Bachelors,GMC,Orange,2000,0,Rural,18251.51,86769.61,0
Married,Private,Male,0,No,High School,Nissan,Green,2010,0,Suburban,34235.98,50292.73,0
Married,Private,Female,0,No,Bachelors,Mitsubishi,Yellow,1995,0,Highly Urban,57745.27,136530.48,0
Single,Private,Male,1,Yes,PhD,Buick,Indigo,1995,3,Suburban,47750.81,154941.46,15916.93667
Divorced,Private,Female,0,No,Masters,Lexus,Violet,1993,0,Suburban,12438.13,54095.1,0
Married,Private,Male,1,Yes,High School,Mitsubishi,Puce,2007,0,Highly Urban,3674.42,221233.92,0
Seperated,Private,Female,2,Yes,PhD,GMC,Blue,2002,2,Highly Rural,39023.63,216023.57,19511.815
Seperated,Private,Male,0,No,High School,Saab,Indigo,1986,1,Rural,67602.29,68895.56,67602.29
Married,Private,Female,1,Yes,Bachelors,BMW,Puce,1993,0,Urban,52050.33,120169.25,0
Married,Private,Male,0,Yes,Bachelors,Toyota,Teal,1995,0,Suburban,83941.06,243861.97,0
Married,Private,Female,2,Yes,Bachelors,Ford,Pink,1995,2,Highly Rural,62248.13,171706.2,31124.065
Married,Commercial,Female,0,No,Bachelors,Chevrolet,Khaki,2000,0,Highly Rural,9370.98,58150.24,0
Seperated,Private,Male,0,Yes,Bachelors,Pontiac,Goldenrod,1998,0,Highly Urban,35262.47,197901.32,0
Married,Commercial,Male,0,Yes,Bachelors,Toyota,Fuscia,2006,0,Highly Rural,14721.89,132117.69,0
Single,Private,Female,1,Yes,High School,Kia,Khaki,2000,0,Urban,87524.34,142983.55,0
Married,Private,Female,1,Yes,Bachelors,Ford,Puce,1999,1,Highly Rural,85748.52,241960.27,85748.52
Single,Private,Female,0,Yes,Bachelors,Ford,Green,1980,0,Highly Rural,618.63,162075.32,0
Single,Private,Female,0,No,Bachelors,Mazda,Red,2003,3,Suburban,74869.42,166616.91,24956.47333
Seperated,Private,Female,0,Yes,Bachelors,Mitsubishi,Fuscia,1989,0,Highly Rural,24190.07,133172.07,0
Married,Private,Female,0,No,Bachelors,Honda,Green,2003,0,Suburban,13856.66,197576.29,0
Single,Private,Female,0,No,Bachelors,Ford,Goldenrod,2012,1,Highly Rural,95775.86,240812.41,95775.86
Married,Private,Female,2,Yes,High School,Isuzu,Aquamarine,1996,1,Rural,58078.4,235729.97,58078.4
Divorced,Commercial,Male,0,No,Masters,Nissan,Goldenrod,1992,0,Highly Rural,3841.62,136099.1,0
Married,Private,Male,0,No,Bachelors,Hyundai,Puce,2007,0,Highly Urban,74111.84,155135.88,0
Seperated,Private,Male,0,No,High School,Mitsubishi,Maroon,1997,1,Suburban,28058.15,114736.48,28058.15
Married,Commercial,Female,1,Yes,Bachelors,Buick,Crimson,2006,0,Highly Urban,67730.85,67366.62,0
Single,Commercial,Male,1,Yes,Bachelors,Pontiac,Turquoise,2004,0,Highly Urban,74684.43,129738.38,0
Divorced,Private,Female,0,No,Bachelors,Hyundai,Purple,1994,4,Suburban,47507.74,92419.54,11876.935
Single,Private,Male,1,Yes,Bachelors,GMC,Turquoise,1994,0,Highly Urban,56501.38,132040.01,0
Single,Commercial,Female,2,Yes,Bachelors,Dodge,Pink,2000,3,Urban,54630.98,69981.21,18210.32667
Divorced,Private,Male,2,Yes,High School,Mitsubishi,Khaki,2007,0,Highly Rural,93986.66,232991.69,0
Single,Private,Female,0,Yes,Masters,Audi,Red,2010,0,Suburban,30542.56,52130.15,0
Single,Private,Male,1,Yes,PhD,Lexus,Pink,2000,1,Rural,83505.62,64478.77,83505.62
Single,Private,Male,0,No,PhD,Mitsubishi,Pink,1988,0,Suburban,56213.2,186153.01,0
Single,Commercial,Female,0,No,High School,Scion,Blue,2008,1,Urban,22212.28,133907.09,22212.28
Single,Private,Male,0,No,Bachelors,Hyundai,Aquamarine,2003,0,Urban,35149.61,160996.95,0
Divorced,Private,Male,1,Yes,Bachelors,Nissan,Turquoise,1999,0,Highly Rural,91110.11,241887.27,0
Single,Private,Female,0,No,Bachelors,Toyota,Pink,2003,0,Rural,8344.62,153728.41,0
Divorced,Private,Female,0,No,High School,Lincoln,Orange,2013,0,Rural,22780.29,139866.13,0
Single,Private,Female,0,No,Masters,Nissan,Fuscia,1997,3,Suburban,14150.94,93349.89,4716.98
Single,Commercial,Male,2,Yes,Masters,Isuzu,Purple,2008,1,Highly Urban,24321.55,156567.95,24321.55
Single,Private,Male,0,No,Masters,Oldsmobile,Red,1994,0,Suburban,74346.9,93539.05,0
Single,Private,Male,0,No,Masters,Ford,Aquamarine,1989,3,Urban,68103.47,235302.13,22701.15667
Divorced,Commercial,Female,0,Yes,High School,Aston Martin,Yellow,2010,0,Highly Urban,9932.39,46101.36,0
Single,Private,Female,0,No,Bachelors,Mazda,Pink,2011,0,Highly Rural,91646.32,68889.78,0
Married,Commercial,Male,0,No,High School,Buick,Pink,1993,1,Rural,47158.6,93500.71,47158.6
Seperated,Private,Female,1,Yes,Bachelors,Toyota,Yellow,2007,0,Suburban,12867.32,155995.81,0
Seperated,Private,Male,0,No,Bachelors,GMC,Yellow,2005,0,Highly Rural,39633.49,185568.09,0
Divorced,Private,Male,0,No,High School,Land Rover,Mauv,1993,0,Rural,33136.78,97594.58,0
Divorced,Private,Female,0,No,Masters,GMC,Red,2002,4,Highly Urban,74748.04,83763.07,18687.01
Divorced,Commercial,Male,0,No,Bachelors,Hyundai,Goldenrod,2007,2,Highly Rural,53551.98,139580.04,26775.99
Single,Private,Female,0,No,High School,GMC,Fuscia,1996,0,Suburban,87423.19,108796.61,0
Single,Private,Female,0,No,Bachelors,BMW,Fuscia,2010,0,Urban,59500.76,71999.57,0
Married,Private,Female,0,No,Masters,Isuzu,Crimson,2007,0,Rural,71575.8,196098.69,0
Single,Commercial,Female,0,No,PhD,Lexus,Indigo,2002,0,Highly Urban,25998.93,72162.83,0
Single,Private,Female,0,No,Bachelors,Jeep,Maroon,1998,0,Suburban,30698.91,62257.46,0
Single,Commercial,Female,0,No,Masters,Infiniti,Orange,1996,1,Highly Urban,26522.44,243571.77,26522.44
Single,Private,Male,0,Yes,High School,Pontiac,Maroon,2005,0,Suburban,26661.81,65133.2,0
Single,Private,Female,0,No,Bachelors,Kia,Maroon,2009,0,Urban,20627.56,221554.24,0
Single,Commercial,Male,1,Yes,Bachelors,Jaguar,Orange,1994,0,Urban,20506.58,79166.39,0
Married,Private,Male,2,Yes,Bachelors,Mazda,Teal,2011,0,Urban,4448.89,196286.24,0
Married,Private,Male,0,No,Bachelors,Maybach,Orange,2008,0,Highly Rural,91766.32,118567.76,0
Single,Private,Female,0,No,Bachelors,Isuzu,Khaki,2004,1,Highly Rural,98164.02,211127.52,98164.02
Single,Private,Male,1,Yes,Bachelors,Buick,Fuscia,1984,1,Highly Urban,67999.03,160257.85,67999.03
Seperated,Private,Female,0,No,Bachelors,Saturn,Green,1998,4,Rural,99331.45,165504.66,24832.8625
Divorced,Commercial,Male,0,No,PhD,Volvo,Mauv,1992,0,Urban,31824.4,219599.72,0
Single,Private,Male,0,Yes,Masters,Nissan,Fuscia,1993,0,Highly Urban,8058.34,204138.1,0
Divorced,Private,Male,0,Yes,Bachelors,Hyundai,Purple,2008,1,Suburban,88163.43,223041.92,88163.43
Single,Commercial,Male,0,No,Bachelors,Mitsubishi,Teal,2005,0,Rural,68957.18,235165.76,0
